A2                  16PZ NET SOLUCOES TECN 16PZNET               2018021200000103
G            14029426201802122018021382620000000235203690018122018010000001000000000000023520000000000001     1401                       
G            14029426201802122018021382610000000679603690024442018010000001000000000000067960000000000002     1401                       
G            14029426201802122018021382620000000298303690036642017120000001000000000000029830000000000003     1401                       
G            14029426201802122018021382660000000246603690000922017120000001000000000000024660000000000004     1401                       
G            14029426201802122018021382610000000419203690017552018010000001000000000000041920000000000005     1401                       
G            14029426201802122018021382640000000293603690018632017110000001000000000000029360000000000006     1401                       
G            14029426201802122018021382610000000244603690025852017120000001000000000000024460000000000007     1401                       
G            14029426201802122018021382600000000239903690025852018010000001000000000000023990000000000008     1401                       
G            14029426201802122018021382630000000509003690014802018010000001000000000000050900000000000009     1401                       
G            14029426201802122018021382630000000479803690030602017120000001000000000000047980000000000010     1401                       
G            14029426201802122018021382640000000235203690022302018010000001000000000000023520000000000011     1401                       
G            14029426201802122018021382610000000239903690030942017110000001000000000000023990000000000012     1401                       
G            14029426201802122018021382650000000335703690028022018010000001000000000000033570000000000013     1401                       
G            14029426201802122018021382600000000244303690011362017120000001000000000000024430000000000014     1401                       
G            14029426201802122018021382690000000163003690036682018010000001000000000000016300000000000015     1401                       
G            14029426201802122018021382640000000327503690035782018010000001000000000000032750000000000016     1401                       
G            14029426201802122018021382640000000629803690019662018010000001000000000000062980000000000017     1401                       
G            14029426201802122018021382670000000394003690005012018010000001000000000000039400000000000018     1401                       
G            14029426201802122018021382620000000235203690001032018010000001000000000000023520000000000019     1401                       
G            14029426201802122018021382650000000239903690001032017120000001000000000000023990000000000020     1401                       
G            14029426201802122018021382600000000235203690031742018010000001000000000000023520000000000021     1401                       
G            14029426201802122018021382660000000495503690035632018010000001000000000000049550000000000022     1401                       
G            14029426201802122018021382600000000239903690017832017120000001000000000000023990000000000023     1401                       
G            14029426201802122018021382600000000239903690030452017120000001000000000000023990000000000024     1401                       
G            14029426201802122018021382610000000259703690030382018010000001000000000000025970000000000025     1401                       
Z00002700000000000081605
